pl_name,hostname,Stellar Temp,Citation List,Problem Size,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,TrOblErrHIGH,TrOblErrLOW,v/vr (<1),st_rad,st_raderr1,st_raderr2,st_radlim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,NOTES,Rotational Period Check?,Max Possible Rotational Period,Max Max Possible Rotation Period,Min Max Possible Rotation Period
KELT-7 b,KELT-7,6768,"Inclination, Projected Obliquity: https://ui.adsabs.harvard.edu/abs/2016MNRAS.460.3376Z/abstract; Stellar Radius, Vsin: https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract",No,83.7,0.2,-0.2,,2.7,0.6,-0.6,,5.511,22.414,-3.416,0.9812190811,1.732,0.043,-0.045,,65,6,-5.9,,1.324,0.061,-0.061,,NO ROTATIONAL PERIOD,1.324 ± 0.061,1.35,0.17,-0.04
HAT-P-24 b,HAT-P-24,5346,Projected Obliquity: https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A/abstract; Rest: https://ui.adsabs.harvard.edu/abs/2010ApJ...725.2017K/abstract,No,88.6,0.7,-0.7,,20,16,-16,,20.557,25.867,-16.04,0.993823486,1.317,0.068,-0.068,,10,0.5,-0.5,,6.628,0.397,-0.397,,NO ROTATIONAL PERIOD,6.628 ± 0.397,6.67,0.71,-0.39
Kepler-8 b,Kepler-8,6181,https://ui.adsabs.harvard.edu/abs/2010ApJ...724.1108J/abstract,No,84.07,0.33,-0.33,,-26.4,10.1,-10.1,,26.271,16.374,-8.841,0.995442378,1.486,0.053,-0.062,,10.5,0.7,-0.7,,7.134,0.323,-0.323,,NO ROTATIONAL PERIOD,7.134 ± 0.323,7.17,0.78,-0.34
TOI-1670 c,TOI-1670,6330,https://ui.adsabs.harvard.edu/abs/2023ApJ...959L...5L/abstract,No,88.839,0.0088,-0.0088,,-0.3,2.2,-2.2,,29.136,18.175,-27.984,0.8634330741,1.308,0.031,-0.029,,8.95,0.46,-0.46,,6.39,1.089,-1.089,,NO ROTATIONAL PERIOD,6.39 ± 1.089,7.4,0.59,-0.19
XO-6 b,XO-6,6720,All: https://ui.adsabs.harvard.edu/abs/2017AJ....153...94C/abstract,No,86,0.2,-0.2,,-20.7,2.3,-2.3,,31.653,12.061,-12.796,0.8761759121,1.93,0.18,-0.18,,48,3,-3,,1.784,0.031,-0.031,,NO ROTATIONAL PERIOD,1.784 ± 0.031,2.04,0.33,-0.2
TOI-1859 b,TOI-1859,6341,https://ui.adsabs.harvard.edu/abs/2023ApJ...951L..29D/abstract,No,88.64,0.38,-0.28,,38.9,2.8,-2.7,,46.41,22.553,-10.178,0.8712425144,1.36,0.1,-0.12,,12.49,0.33,-0.33,,4.804,2.004,-2.004,,NO ROTATIONAL PERIOD,4.804 ± 2.004,5.51,0.57,-0.52
WASP-62 b,WASP-62,6230,"https://ui.adsabs.harvard.edu/abs/2017MNRAS.464..810B/abstract, https://ui.adsabs.harvard.edu/abs/2012MNRAS.426..739H/abstract",No,88.3,0.9,-0.6,,19.4,5.1,-4.9,,49.834,15.79,-24.34,0.6605035847,1.28,0.05,-0.05,,8.7,0.4,-0.4,,4.921,1.352,-1.352,,NO ROTATIONAL PERIOD,4.921 ± 1.352,7.45,0.66,-0.33
TOI-813 b,TOI-813,5907,"https://ui.adsabs.harvard.edu/abs/2020MNRAS.494..750E/abstract, https://ui.adsabs.harvard.edu/abs/2024A%26A...690A.379K/abstract",No,89.64,0.24,-0.27,,-32,23,-23,,70.411,9.077,-9.025,0.3885334458,1.94,0.1,-0.1,,8.4,0.5,-0.5,,4.544,0.43,-0.43,,NO ROTATIONAL PERIOD,4.544 ± 0.43,11.7,1.38,-0.74
TOI-5143 c,TOI-5143,5183,https://ui.adsabs.harvard.edu/abs/2025AJ....169..189R/abstract; Rotational Period: Lucas :D,No,86.02,0.16,-0.15,,2.1,2.8,-2.7,,71.394,2.359,-2.364,0.2526794666,0.852,0.02,-0.02,,2.53,0.28,-0.29,,4.309,0.051,-0.051,,NO ROTATIONAL PERIOD,4.309 ± 0.051,17.05,2.66,-0.53
Kepler-30 b,Kepler-30,5464,"https://ui.adsabs.harvard.edu/abs/2012Natur.487..449S/abstract,  https://ui.adsabs.harvard.edu/abs/2012ApJ...750..114F/abstract",No,90.179,0.167,-0.167,,4,10,-10,,71.474,5.392,-7.073,0.3214829506,0.95,0.12,-0.12,,1.94,0.22,-0.22,,7.972,0.588,-0.588,,NO ROTATIONAL PERIOD,7.972 ± 0.588,24.8,6.7,-4.4
Kepler-30 c,Kepler-30,5464,"https://ui.adsabs.harvard.edu/abs/2012Natur.487..449S/abstract,  https://ui.adsabs.harvard.edu/abs/2012ApJ...750..114F/abstract",No,90.179,0.167,-0.167,,4,10,-10,,71.474,5.392,-7.073,0.3214829506,0.95,0.12,-0.12,,1.94,0.22,-0.22,,7.972,0.588,-0.588,,NO ROTATIONAL PERIOD,7.972 ± 0.588,24.8,6.7,-4.4
Kepler-30 d,Kepler-30,5464,"https://ui.adsabs.harvard.edu/abs/2012Natur.487..449S/abstract,  https://ui.adsabs.harvard.edu/abs/2012ApJ...750..114F/abstract",No,90.179,0.167,-0.167,,4,10,-10,,71.474,5.392,-7.073,0.3214829506,0.95,0.12,-0.12,,1.94,0.22,-0.22,,7.972,0.588,-0.588,,NO ROTATIONAL PERIOD,7.972 ± 0.588,24.8,6.7,-4.4
HD 191939 b,HD 191939,5427,https://ui.adsabs.harvard.edu/abs/2024AJ....168..196L/abstract,No,88.1,,,,3.7,5,-5,,71.737,11.074,-16.624,0.2823138868,0.94,0.02,-0.02,,1.6,0.3,-0.3,,8.399,4.951,-4.951,,"NO ROTATIONAL PERIOD, GOD AWFUL ROTATOR",8.399 ± 4.951,29.75,7.65,-0.99
WASP-100 b,WASP-100,6900,"https://ui.adsabs.harvard.edu/abs/2018AJ....156..197A/abstract, https://ui.adsabs.harvard.edu/abs/2014MNRAS.440.1982H/abstract",No,82.6,2.6,-1.7,,79,19,-10,,76.998,20.901,-7.921,0.9160320936,2,0.3,-0.3,,12.8,0.8,-0.8,,7.248,3.359,-3.359,,NO ROTATIONAL PERIOD,7.248 ± 3.359,7.91,1.8,-1.34
WASP-11,WASP-11,4980,https://ui.adsabs.harvard.edu/abs/2015A%26A...579A.136M/abstract,No,89.03,0.34,-0.34,,7,5,-5,,77.196,3.229,-3.641,0.2066245283,0.772,0.015,-0.015,,1.04,0.15,-0.15,,7.767,0.649,-0.649,,NO ROTATIONAL PERIOD,7.767 ± 0.649,37.59,7.19,-1.25
TrES-1 b,TrES-1,5230,All: https://ui.adsabs.harvard.edu/abs/2007PASJ...59..763N/abstract,No,88.4,0.3,-0.3,,30,21,-21,,79.205,5.991,-8.489,0.1846489316,0.82,0.02,-0.02,,1.3,0.3,-0.3,,5.898,1.762,-1.762,,NO ROTATIONAL PERIOD,5.898 ± 1.762,31.94,10.6,-1.25
HATS-14 b,HATS-14,6373,"Projected Obliquity: https://ui.adsabs.harvard.edu/abs/2015ApJ...814L..16Z/abstract, Rest: https://ui.adsabs.harvard.edu/abs/2015A%26A...580A..63M/abstract",No,88.83,0.66,-0.66,,76,4,-5,,79.519,6.186,-8.478,0.6910488557,0.933,0.023,-0.015,,3.8,1.2,-1.2,,8.592,1.443,-1.443,,NO ROTATIONAL PERIOD,8.592 ± 1.443,12.43,6.19,-0.27
WASP-7 b,WASP-7,6400,Projected Obliquity: https://ui.adsabs.harvard.edu/abs/2012ApJ...744..189A/abstract; Rest: https://ui.adsabs.harvard.edu/abs/2017A%26A...602A.107B/abstract,No,87.03,0.93,-0.93,,86,6,-6,,85.104,6.895,-5.155,0.898350451,1.466,0.094,-0.094,,17,2,-2,,3.923,0.38,-0.38,,NO ROTATIONAL PERIOD,3.923 ± 0.38,4.37,0.9,-0.31
HD 80606 b,HD 80606,5574,"https://ui.adsabs.harvard.edu/abs/2009A%26A...502..695P/abstract, https://ui.adsabs.harvard.edu/abs/2017A%26A...602A.107B/abstract",No,89.232,0.029,-0.029,,50,61,-36,,85.588,7.022,-5.462,0.09892421358,1.037,0.032,-0.032,,1.8,0.5,-0.5,,2.886,0.712,-0.712,,"NO ROTATIONAL PERIOD, GOD AWFUL ROTATOR",2.886 ± 0.712,29.17,12.47,-1.39
CoRoT-19 b,CoRoT-19,6090,https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract,No,88,0.7,-0.7,,-52,27,-22,,87.433,1.061,-1.132,0.01608525149,1.65,0.04,-0.04,,6,1,-1,,0.224,0.00016,-0.00016,,NO ROTATIONAL PERIOD,0.224 ± 0.00016,13.93,3.19,-0.43
HAT-P-14 b,HAT-P-14,6600,,No,83.5,0.3,-0.3,,189.1,5.1,-5.1,,116.042,5.854,-6.427,0.5443051053,1.468,0.054,-0.054,,8.4,0.5,-0.5,,4.817,0.348,-0.348,,NO ROTATIONAL PERIOD,4.817 ± 0.348,8.85,0.91,-0.38
TIC 241249530 b,TIC 241249530,6166,https://www.nature.com/articles/s41586-024-07688-3,No,85.17,0.57,-0.51,,163.5,9.4,-7.7,,132.9,38.826,-18.466,0.7688442621,1.397,0.025,-0.028,,4.6,0.56,-0.63,,11.824,2,-2,,"NO ROTATIONAL PERIOD, Singular Paper",,15.38,2.76,-0.39
